ID,Location,Date,Claimed by AFRICOM?,Description of target ,DPH claim?,URL,
1,"near Beledweyne, Hiiraan, Somalia",9-Aug-22,Yes,"al-Shabaab members, previously attacked Somali forces",Maybe ,https://airwars.org/civilian-casualties/ussom349-august-9-2022/,
2,"Labi-Kus, Lower Juba, Somalia",17-Jul-22,Yes,"al-Shabaab members, previously attacked Somali forces",Maybe,https://airwars.org/civilian-casualties/ussom348-july-17-2022/,
3,"Yaaq-Zaluul, Beer Xaani, Somalia",3-Jun-22,Yes,al-Shabaab members killed “in action”,Yes,https://airwars.org/civilian-casualties/ussom347-june-3-2022/,
4,"Hareri Gubadle, Galgaduud, Somalia",13-Mar-22,No,"al-Shabaab members and base, thwarting explosions",Maybe,https://airwars.org/civilian-casualties/ussom346-march-13-2022/,
5,"Fiidow, Hiiraan, Somalia ",22-Feb-22,Yes,"al-Shabaab members, previously attacked Somali forces",Maybe ,https://airwars.org/civilian-casualties/ussom345-february-22-2022/ ,
6,"Cammaara, Galmudug, Somalia",24-Aug-21,Yes,"al-Shabaab members, attacked Danab fighters earlier that morning, AFRICOM reported killing ""fighters engaged in active combat""",Yes,https://airwars.org/civilian-casualties/ussom341-august-24-2021/,
7,"Between Qaycad town and Xarardheere , Galmudug, Somalia",1-Aug-21,Yes,al-Shabaab base,No,https://airwars.org/civilian-casualties/ussom340-august-1-2021/,
8,"Between Bacaadweyn and Camara, vicinity of Wisil, Galmudug, Somalia",1-Aug-21,Yes,"al-Shabaab firing position, engaging Danab and SNA forces as they approached",Yes,https://airwars.org/civilian-casualties/ussom339-august-1-2021/,
9,"Between Qaycad town and Xarardheere district, Galmudug, Somalia",25-Jul-21,Yes,al-Shabaab members previously engaged with Somali forces ,Maybe ,https://airwars.org/civilian-casualties/ussom338-july-23-2021/,
10,"Vicinity of Qeycad, Mudug, Somalia",20-Jul-21,Yes,"al-Shabaab stationed, U.S. military assisting Somali special forces on the ground ",Maybe ,https://airwars.org/civilian-casualties/ussom337-july-20-2021/,
11,"Hantiwadaag, Lower Shabelle, Somalia",17-Feb-21,No,vehicle carrying al-Shabaab members ,No ,https://airwars.org/civilian-casualties/ussom336-february-17-2021/,
12,"Salagle, Middle Juba, Somalia",11-Feb-21,No,al-Shabaab stronghold towns,No,https://airwars.org/civilian-casualties/ussom335-february-11-2021/,
13," Sakow, Middle Juba, Somalia",11-Feb-21,No,al-Shabaab stronghold town ,No,https://airwars.org/civilian-casualties/ussom334-february-11-2021/,
14,"Ma'moodow, Bakool, South West State, Somalia",29-Jan-21,No,al-Shabaab members waiting for vehicles in a stronghold town ,No,https://airwars.org/civilian-casualties/ussom333-january-29-2021/,
15,"Deb Scinnele, Lower Shabelle, Somalia",19-Jan-21,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom332-january-19-2021/,
16,"Jamaame, Lower Juba, Somalia",19-Jan-21,Yes,al-Shabaab member ,No,https://airwars.org/civilian-casualties/ussom331-c-january-19-2021/,
17,"Tiyeeglow, Bakool, Somalia",18-Jan-21,Yes,al-Shabaab compound,No,https://airwars.org/civilian-casualties/ussom330-january-18-2021/,
18,"Buulo Fulaay, Bay, Somalia",13-Jan-21,Yes,"town, including an al-Shabaab member and an al-Shabaab compound",No,https://airwars.org/civilian-casualties/ussom329-january-13-2021/,
19,"Saaxa Weyne, Bay, Somalia",7-Jan-21,Yes," al-Shabaab members, one of whom previously attacked US and Somali forces",Maybe,https://airwars.org/civilian-casualties/ussom328-january-7-2021/,
20,"Kunya Barrow, Middle Juba, Somalia",1-Jan-21,Yes,"HQ of al-Shabaab-affiliated radio station, considered an al-Shabaab compound building",No,https://airwars.org/civilian-casualties/ussom327-c-january-1-2021/,
21,"Kunya Barrow, Middle Juba, Somalia",1-Jan-21,Yes,al-Shabaab compound,No,https://airwars.org/civilian-casualties/ussom326-c-january-1-2021/,
22," Saakow, Middle Juba, Somalia",24-Dec-20,Yes,al-Shabaab compound,No,https://airwars.org/civilian-casualties/ussom325-december-24-2020/,
23,"Burr Heybo, Bay, Somalia",21-Dec-20,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom324a-december-21-2020/,
24,"Jilib, Middle Juba, Somalia",11-Dec-20,No,al-Shabaab members linked with manufacturing explosives,Maybe,https://airwars.org/civilian-casualties/ussom324-december-10-2020/,
25,"Jilib, Middle Juba, Somalia",11-Dec-20,Yes,al-Shabaab members linked with manufacturing explosives,Maybe,https://airwars.org/civilian-casualties/ussom323-december-10-2020/,
26,"Jilib, Middle Juba, Somalia",18-Oct-20,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom321-october-18-2020/,
27,"Weelshit, Gedo, Somalia",6-Oct-20,No,"al-Shabaab outpost, allegedly threatening a Somali base",Maybe,https://airwars.org/civilian-casualties/ussom320-october-6-2020/,
28,"Jana Cabdalle, Lower Juba, Somalia",21-Sep-20,Yes,al-Shabaab members attempting to scavenge a damaged vehicle,No,https://airwars.org/civilian-casualties/ussom319a-september-21-2020/,
29,"Amreereey, Middle Juba, Somalia",9-Sep-20,No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom318-september-9-2020/,
30,"Saakow, Middle Juba, Somalia",25-Aug-20,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom316-august-25-2020/,
31," Darusalaam, Lower Shabelle, Somalia",24-Aug-20,Yes,al-Shabaab members who attacked Danab forces when Danab forces were conducting a counterterrorism operation,Yes,https://airwars.org/civilian-casualties/ussom315a-august-24-2020/,
32,"IVO Kurtun Warey, Lower Shabelle, Somalia",20-Aug-20,Yes,al-Shabaab member making preparations to place an IED on a public road,Yes,https://airwars.org/civilian-casualties/ussom315-august-20-2020/,
33,"Sablale, Lower Shabelle, Somalia",8-Aug-20,No,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom314-august-8-2020/,
34,"Haway, Lower Shabelle, Somalia",8-Aug-20,No,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom313-august-8-2020/,
35,"Jilib, Middle Juba, Somalia",29-Jul-20,Yes,al-Shabaab compound,No,https://airwars.org/civilian-casualties/ussom312-c-july-29-2020/,
36,"Vicinity of Hantiwadaag, Lower Shabelle, Somalia",9-Jul-20,Yes,al-Shabaab checkpoint  ,No,https://airwars.org/civilian-casualties/ussom310-july-9-2020/,
37,"Near Kunya Barrow, Middle Juba, Somalia",17-May-20,Yes,"al-Shabaab-controlled town, including homes considered to be compounds",No,https://airwars.org/civilian-casualties/ussom309-c-may-17-2020/,
38,"Araboow, Middle Juba, Somalia",13-May-20,No,parked minibuses,No,https://airwars.org/civilian-casualties/ussom308-c-may-13-2020/,
39,"Haway, Lower Shabelle, Somalia",11-May-20,No,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom307b-may-11-2020/,
40,"Jamaame, Middle Juba, Somalia",11-May-20,No,"al-Shabaab members meeting in a training camp, possibly preparing an attack ",Maybe,https://airwars.org/civilian-casualties/ussom307a-may-11-2020/,
41,"Kamsuuma, Lower Juba, Somalia",10-Apr-20,Yes,"al-Shabaab member, claimed to have displayed dead bodies of Somali forces",Maybe,https://airwars.org/civilian-casualties/ussom307-c-april-10-2020/,
42,"Kobon, Lower Juba, Somalia",9-Apr-20,Yes,al-Shabaab members engaging the Danab,Yes,https://airwars.org/civilian-casualties/ussom306-april-9-2020/,
43," Jilib, Middle Juba, Somalia",6-Apr-20,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom305-c-april-6-2020/,
44," Mubarak, Lower Shabelle, Somalia",5-Apr-20,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom304-april-5-2020/,
45," Mubarak, Lower Shabelle, Somalia",5-Apr-20,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom303-april-5-2020/,
46," Mubarak, Lower Shabelle, Somalia",5-Apr-20,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom302-april-5-2020/,
47,"Bush Madina, Bay, Somalia",3-Apr-20,Yes,al-Shabaab members and compound,No,https://airwars.org/civilian-casualties/ussom301-april-3-2020/,
48,"Bush Madina, Bay, Somalia",2-Apr-20,Yes,al-Shabaab members and compound,No,https://airwars.org/civilian-casualties/ussom300-april-2-2020/,
49,"near Buulo Fuulay, Bay, Somalia",27-Mar-20,Yes,"al-Shabaab members on a scooter, leaving an al-Shabaab compound",No,https://airwars.org/civilian-casualties/ussom299-c-march-27-2020/,
50,"Beerta Xassan Huutaan, Lower Shabelle, Somalia","March 17–18, 2020",Yes,farm ,No,https://airwars.org/civilian-casualties/ussom298a-c-march-17-2020/,
51,"Vicinity of Janaale, Lower Shabelle, Somalia","March 15–17, 2020",Yes,al-Qaeda members in the vicinity of an ongoing Somali operation ,No,https://airwars.org/civilian-casualties/ussom298-march-15-2020/,
52,"Vicinity of Janaale, Lower Shabelle, Somalia","March 15–17, 2020",Yes,al-Shabaab members engaging Somali and AMISOM forces trying to retake Janaale,Yes,https://airwars.org/civilian-casualties/ussom297-march-15-2020/,
53,"Vicinity of Janaale, Lower Shabelle, Somalia","March 15–17, 2020",Yes,al-Shabaab members engaging Somali and AMISOM forces trying to retake Janaale,Yes,https://airwars.org/civilian-casualties/ussom296-march-15-2020/,
54,"Vicinity of Janaale, Lower Shabelle, Somalia","March 15–17, 2020",Yes,al-Shabaab members engaging Somali and AMISOM forces trying to retake Janaale,Yes,https://airwars.org/civilian-casualties/ussom295-march-15-2020/,
55,"Vicinity of Janaale, Lower Shabelle, Somalia","March 15–17, 2020",Yes,al-Shabaab members engaging Somali and AMISOM forces trying to retake Janaale,Yes,https://airwars.org/civilian-casualties/ussom294-march-15-2020/,
56,"Near Janaale, Lower Shabelle, Somalia",10-Mar-20,Yes,"minibus, likely containing al-Shabaab members and civilians",No,https://airwars.org/civilian-casualties/ussom293-c-march-10-2020/,
57,"Bu'aale, Middle Juba, Somalia",10-Mar-20,No,al-Shabaab compound,No,https://airwars.org/civilian-casualties/ussom292-march-10-2020/,
58," Saakow, Middle Juba, Somalia",10-Mar-20,No,al-Shabaab compound,No,https://airwars.org/civilian-casualties/ussom291-march-10-2020/,
59,"Jilib, Middle Juba, Somalia",10-Mar-20,No,al-Shabaab compound,No,https://airwars.org/civilian-casualties/ussom290-march-10-2020/,
60,"Salagle, Middle Juba, Somalia",10-Mar-20,No,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom292a-march-10-2020/,
61,"Near Janaale, Lower Shabelle, Somalia",9-Mar-20,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom289-march-9-2020/,
62," Gandarshe, Lower Shabelle, Somalia",7-Mar-20,Yes,al-Shabaab camp,No,https://airwars.org/civilian-casualties/ussom288-march-7-2020/,
63," Near Kunya Barrow, Middle Juba, Somalia",5-Mar-20,Yes,"al-Shabaab member, possibly a civilian home ",No,https://airwars.org/civilian-casualties/ussom287-c-march-5-2020/,
64," Vicinity of Kunya Barrow, Lower Shabelle, Somalia",2-Mar-20,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom286-march-2-2020/,
65," Vicinity of Kunya Barrow, Lower Shabelle, Somalia",2-Mar-20,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom285-march-2-2020/,
66," Vicinity of Kunya Barrow, Lower Shabelle, Somalia",28-Feb-20,Yes,al-Shabaab members and vehicle,No,https://airwars.org/civilian-casualties/ussom284-february-28-2020/,
67,"Kunya Barrow, Lower Shabelle, Somalia",28-Feb-20,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom283-c-february-28-2020/,
68,"the Masalanja farm near the village of Kumbareere, Middle Juba, Somalia",24-Feb-20,Yes,al-Shabaab member or civilian farmer,No,https://airwars.org/civilian-casualties/ussom282-c-february-24-2020/,
69," Dujuuma, Middle Juba, Somalia",23-Feb-20,Yes,al-Shabaab compound,No,https://airwars.org/civilian-casualties/ussom281-february-23-2020/,
